id,title,dept,size,depth
ARCL 325,ARCL 325,ARCL,1,1
ARCL 140,ARCL 140,ARCL,0,0
ARCL 326,ARCL 326,ARCL,1,1
ARCL 345,ARCL 345,ARCL,3,1
ARCL 103,ARCL 103,ARCL,0,0
FSCT 201,FSCT 201,FSCT,0,0
ARCL 406,ARCL 406,ARCL,1,2
ARCL 411,ARCL 411,ARCL,2,1
ARCL 321,ARCL 321,ARCL,0,0
ARCL 419,ARCL 419,ARCL,1,1
ARCL 424,ARCL 424,ARCL,1,1
ARCL 430,ARCL 430,ARCL,1,1
ARTC 100,ARTC 100,ARTC,0,0
ARTC 110,ARTC 110,ARTC,1,1
ARTC 200,ARTC 200,ARTC,1,2
ARTC 210,ARTC 210,ARTC,1,3
ARTC 211,ARTC 211,ARTC,1,2
ARTC 300,ARTC 300,ARTC,2,3
ARTC 310,ARTC 310,ARTC,1,4
ARTC 311,ARTC 311,ARTC,2,3
ARTC 400,ARTC 400,ARTC,2,4
ARTC 410,ARTC 410,ARTC,1,5
ARTC 411,ARTC 411,ARTC,2,4
ARTC 445,ARTC 445,ARTC,2,5
ARTC 450,ARTC 450,ARTC,1,6
ARTC 451,ARTC 451,ARTC,2,5
ARTC 456,ARTC 456,ARTC,2,6
ARTC 460,ARTC 460,ARTC,1,7
ARTC 461,ARTC 461,ARTC,2,6
ARTH 300,ARTH 300,ARTH,0,0
ARTH 490,ARTH 490,ARTH,1,1
ASIA 386,ASIA 386,ASIA,8,1
CHIN 207,CHIN 207,CHIN,0,0
CHIN 337,CHIN 337,CHIN,2,1
CHIN 208,CHIN 208,CHIN,0,0
CHIN 338,CHIN 338,CHIN,4,1
CHIN 217,CHIN 217,CHIN,0,0
CHIN 347,CHIN 347,CHIN,2,1
CHIN 218,CHIN 218,CHIN,0,0
CHIN 348,CHIN 348,CHIN,4,1
ASIA 400,ASIA 400,ASIA,16,1
ASIA 300,ASIA 300,ASIA,0,0
JAPN 213,JAPN 213,JAPN,0,0
JAPN 251,JAPN 251,JAPN,0,0
JAPN 323,JAPN 323,JAPN,2,1
JAPN 361,JAPN 361,JAPN,4,1
KORN 300,KORN 300,KORN,2,2
KORN 301,KORN 301,KORN,1,4
KORN 302,KORN 302,KORN,1,5
ASIA 427,ASIA 427,ASIA,6,1
ASIA 327,ASIA 327,ASIA,0,0
ASIA 347,ASIA 347,ASIA,0,0
ASIA 357,ASIA 357,ASIA,0,0
ASIA 447,ASIA 447,ASIA,2,1
ASIA 452,ASIA 452,ASIA,4,1
ASIA 457,ASIA 457,ASIA,1,1
ASIA 448,ASIA 448,ASIA,1,1
ASIA 369,ASIA 369,ASIA,0,0
ASIA 468,ASIA 468,ASIA,5,1
ASIA 376,ASIA 376,ASIA,0,0
ASIA 381,ASIA 381,ASIA,0,0
ASIA 382,ASIA 382,ASIA,0,0
ASIA 383,ASIA 383,ASIA,0,0
ASIA 387,ASIA 387,ASIA,0,0
ASIC 200,ASIC 200,ASIC,0,0
ASIC 220,ASIC 220,ASIC,0,0
ASLA 400,ASLA 400,ASLA,1,1
ASLA 300,ASLA 300,ASLA,0,0
ASL 101,ASL 101,ASL,1,1
ASL 100,ASL 100,ASL,0,0
ASTR 101,ASTR 101,ASTR,4,1
PHYS 11,PHYS 11,PHYS,0,0
PHYS 12,PHYS 12,PHYS,0,0
PHYS 100,PHYS 100,PHYS,3,1
Principles of Mathematics 12,Principles of Mathematics 12,Principles,0,0
ASTR 102,ASTR 102,ASTR,4,1
ASTR 200,ASTR 200,ASTR,12,2
PHYS 101,PHYS 101,PHYS,9,1
PHYS 106,PHYS 106,PHYS,11,1
PHYS 107,PHYS 107,PHYS,11,1
PHYS 117,PHYS 117,PHYS,9,1
PHYS 131,PHYS 131,PHYS,9,1
PHYS 157,PHYS 157,PHYS,10,1
PHYS 153,PHYS 153,PHYS,9,1
MATH 101,MATH 101,MATH,13,1
MATH 103,MATH 103,MATH,12,1
MATH 105,MATH 105,MATH,12,1
MATH 121,MATH 121,MATH,11,1
ASTR 205,ASTR 205,ASTR,5,3
PHYS 210,PHYS 210,PHYS,9,2
EOSC 211,EOSC 211,EOSC,5,2
CPSC 302,CPSC 302,CPSC,13,2
CPSC 303,CPSC 303,CPSC,13,2
ASTR 300,ASTR 300,ASTR,8,4
MATH 217,MATH 217,MATH,22,2
MATH 227,MATH 227,MATH,3,3
MATH 317,MATH 317,MATH,5,3
ASTR 333,ASTR 333,ASTR,33,2
PHYS 102,PHYS 102,PHYS,6,2
PHYS 108,PHYS 108,PHYS,10,2
PHYS 118,PHYS 118,PHYS,18,2
PHYS 158,PHYS 158,PHYS,6,2
MATH 200,MATH 200,MATH,13,2
MATH 253,MATH 253,MATH,12,2
STAT 203,STAT 203,STAT,2,1
STAT 241,STAT 241,STAT,6,2
COMM 291,COMM 291,COMM,0,0
ECON 325,ECON 325,ECON,15,2
EPSE 482,EPSE 482,EPSE,0,0
EPSE 483,EPSE 483,EPSE,0,0
KIN 371,KIN 371,KIN,0,0
POLI 380,POLI 380,POLI,0,0
PSYC 217,PSYC 217,PSYC,3,1
PSYC 218,PSYC 218,PSYC,5,1
PSYC 277,PSYC 277,PSYC,0,0
PSYC 278,PSYC 278,PSYC,2,1
PSYC 366,PSYC 366,PSYC,1,2
SOCI 328,SOCI 328,SOCI,3,1
ASTR 403,ASTR 403,ASTR,2,3
PHYS 200,PHYS 200,PHYS,10,2
PHYS 250,PHYS 250,PHYS,6,2
ASTR 404,ASTR 404,ASTR,4,6
PHYS 408,PHYS 408,PHYS,4,5
PHYS 312,PHYS 312,PHYS,5,4
MATH 316,MATH 316,MATH,8,3
ASTR 405,ASTR 405,ASTR,1,7
ASTR 406,ASTR 406,ASTR,4,5
PHYS 203,PHYS 203,PHYS,13,3
PHYS 301,PHYS 301,PHYS,12,4
MATH 215,MATH 215,MATH,17,3
ASTR 407,ASTR 407,ASTR,13,4
EOSC 212,EOSC 212,EOSC,0,0
PHYS 206,PHYS 206,PHYS,1,0
PHYS 216,PHYS 216,PHYS,14,3
PHYS 306,PHYS 306,PHYS,7,4
EOSC 352,EOSC 352,EOSC,3,4
ASTU 211,ASTU 211,ASTU,2,1
ASTU 210,ASTU 210,ASTU,0,0
EDUC 210,EDUC 210,EDUC,0,0
ASTU 310,ASTU 310,ASTU,0,0
ASTU 311,ASTU 311,ASTU,1,1
ASTU 410,ASTU 410,ASTU,1,2
ASTU 411,ASTU 411,ASTU,1,3
ASTU 412,ASTU 412,ASTU,1,4
ATSC 201,ATSC 201,ATSC,0,0
ATSC 212,ATSC 212,ATSC,2,1
CPSC 103,CPSC 103,CPSC,0,0
CPSC 110,CPSC 110,CPSC,1,0
ATSC 301,ATSC 301,ATSC,4,3
ATSC 303,ATSC 303,ATSC,4,3
GEOB 200,GEOB 200,GEOB,0,0
GEOS 200,GEOS 200,GEOS,2,1
ATSC 313,ATSC 313,ATSC,15,2
APSC 160,APSC 160,APSC,0,0
DSCI 100,DSCI 100,DSCI,1,1
ATSC 398,ATSC 398,ATSC,3,1
GEOB 300,GEOB 300,GEOB,0,0
GEOS 300,GEOS 300,GEOS,5,1
ATSC 399,ATSC 399,ATSC,1,2
ATSC 404,ATSC 404,ATSC,6,4
EOSC 250,EOSC 250,EOSC,7,3
ATSC 405,ATSC 405,ATSC,3,4
CHEM 304,CHEM 304,CHEM,8,2
ATSC 406,ATSC 406,ATSC,1,1
ATSC 409,ATSC 409,ATSC,4,1
MATH 255,MATH 255,MATH,20,3
MATH 256,MATH 256,MATH,23,2
MATH 265,MATH 265,MATH,1,0
ATSC 498,ATSC 498,ATSC,4,3
GEOB 304,GEOB 304,GEOB,0,0
GEOS 304,GEOS 304,GEOS,3,1
ATSC 499,ATSC 499,ATSC,1,4
AUDI 400,AUDI 400,AUDI,2,1
LING 100,LING 100,LING,0,0
PSYC 100,PSYC 100,PSYC,3,0
BEST 200,BEST 200,BEST,1,2
CHEM 121,CHEM 121,CHEM,3,1
BEST 201,BEST 201,BEST,2,1
BIOL 111,BIOL 111,BIOL,1,0
BEST 203,BEST 203,BEST,3,2
BEST 300,BEST 300,BEST,2,3
CHEM 203,CHEM 203,CHEM,4,2
CHEM 233,CHEM 233,CHEM,4,2
BEST 301,BEST 301,BEST,1,1
BEST 202,BEST 202,BEST,0,0
BEST 302,BEST 302,BEST,1,3
BEST 303,BEST 303,BEST,1,4
BEST 304,BEST 304,BEST,1,4
BEST 308,BEST 308,BEST,1,3
BEST 400,BEST 400,BEST,1,4
BEST 401,BEST 401,BEST,1,1
ECON 101,ECON 101,ECON,2,0
BEST 402,BEST 402,BEST,1,3
CHEM 223,CHEM 223,CHEM,3,2
CHEM 213,CHEM 213,CHEM,5,3
BIOC 301,BIOC 301,BIOC,3,1
BIOC 300,BIOC 300,BIOC,2,0
BIOC 302,BIOC 302,BIOC,8,4
BIOC 303,BIOC 303,BIOC,9,4
CHEM 205,CHEM 205,CHEM,12,2
BIOC 304,BIOC 304,BIOC,2,5
BIOC 398,BIOC 398,BIOC,0,0
BIOC 399,BIOC 399,BIOC,1,1
BIOC 402,BIOC 402,BIOC,3,1
BIOT 380,BIOT 380,BIOT,1,0
BIOC 403,BIOC 403,BIOC,1,2
BIOC 410,BIOC 410,BIOC,3,1
BIOC 420,BIOC 420,BIOC,2,1
BIOC 404,BIOC 404,BIOC,1,0
FSCT 480,FSCT 480,FSCT,1,0
BIOC 421,BIOC 421,BIOC,2,2
BIOC 440,BIOC 440,BIOC,4,2
BIOC 450,BIOC 450,BIOC,4,2
BIOC 460,BIOC 460,BIOC,4,2
BIOC 470,BIOC 470,BIOC,2,5
BIOC 490,BIOC 490,BIOC,3,1
BIOC 498,BIOC 498,BIOC,1,2
BIOC 499,BIOC 499,BIOC,1,3
CHEM 12,CHEM 12,CHEM,0,0
CHEM 100,CHEM 100,CHEM,0,0
CHEM 110,CHEM 110,CHEM,0,0
BIOL 11,BIOL 11,BIOL,0,0
BIOL 12,BIOL 12,BIOL,0,0
BIOL 153,BIOL 153,BIOL,7,1
BIOL 155,BIOL 155,BIOL,7,1
BIOL 180,BIOL 180,BIOL,3,1
CHEM 130,CHEM 130,CHEM,4,1
CHEM 260,CHEM 260,CHEM,6,2
CHEM 313,CHEM 313,CHEM,1,4
CHEM 330,CHEM 330,CHEM,1,4
BIOL 203,BIOL 203,BIOL,4,2
BIOL 209,BIOL 209,BIOL,2,2
BIOL 301,BIOL 301,BIOL,2,3
BIOL 306,BIOL 306,BIOL,1,3
BIOL 310,BIOL 310,BIOL,1,2
BIOL 314,BIOL 314,BIOL,5,1
GEOB 207,GEOB 207,GEOB,0,0
GEOS 207,GEOS 207,GEOS,2,1
BIOL 320,BIOL 320,BIOL,1,2
BIOL 321,BIOL 321,BIOL,1,2
BIOL 322,BIOL 322,BIOL,1,2
BIOL 323,BIOL 323,BIOL,1,2
BIOL 324,BIOL 324,BIOL,1,2
BIOL 325,BIOL 325,BIOL,1,2
BIOL 326,BIOL 326,BIOL,3,3
BIOL 328,BIOL 328,BIOL,1,2
BIOL 330,BIOL 330,BIOL,5,3
BIOL 331,BIOL 331,BIOL,5,3
BIOL 332,BIOL 332,BIOL,1,3
MICB 322,MICB 322,MICB,7,4
FRST 302,FRST 302,FRST,0,0
BIOL 336,BIOL 336,BIOL,2,3
BIOL 337,BIOL 337,BIOL,3,3
BIOL 338,BIOL 338,BIOL,3,1
BIOL 340,BIOL 340,BIOL,4,3
BIOL 341,BIOL 341,BIOL,1,3
BIOL 342,BIOL 342,BIOL,4,2
BIOL 351,BIOL 351,BIOL,4,2
BIOL 352,BIOL 352,BIOL,4,1
BIOL 362,BIOL 362,BIOL,8,3
FRST 311,FRST 311,FRST,0,0
BIOL 363,BIOL 363,BIOL,4,4
BIOL 370,BIOL 370,BIOL,3,3
BIOL 371,BIOL 371,BIOL,8,3
BIOL 364,BIOL 364,BIOL,3,3
NSCI 200,NSCI 200,NSCI,0,0
PSYC 270,PSYC 270,PSYC,6,2
PSYC 271,PSYC 271,PSYC,7,2
PSYC 304,PSYC 304,PSYC,9,1
BIOL 372,BIOL 372,BIOL,1,4
BIOL 399,BIOL 399,BIOL,1,1
BIOL 398,BIOL 398,BIOL,0,0
BIOL 401,BIOL 401,BIOL,5,4
BIOL 402,BIOL 402,BIOL,3,3
BIOL 403,BIOL 403,BIOL,4,2
BIOL 404,BIOL 404,BIOL,3,3
BIOL 406,BIOL 406,BIOL,1,3
BIOL 408,BIOL 408,BIOL,1,3
BIOL 409,BIOL 409,BIOL,3,3
BIOL 410,BIOL 410,BIOL,1,3
BIOL 411,BIOL 411,BIOL,3,3
BIOL 412,BIOL 412,BIOL,1,2
BIOL 413,BIOL 413,BIOL,1,2
BIOL 415,BIOL 415,BIOL,1,4
BIOL 417,BIOL 417,BIOL,3,3
BIOL 418,BIOL 418,BIOL,2,4
BIOL 421,BIOL 421,BIOL,7,3
BIOL 423,BIOL 423,BIOL,1,3
BIOL 424,BIOL 424,BIOL,5,2
BIOL 425,BIOL 425,BIOL,1,3
BIOL 426,BIOL 426,BIOL,1,3
BIOL 427,BIOL 427,BIOL,1,2
BIOL 428,BIOL 428,BIOL,1,3
BIOL 430,BIOL 430,BIOL,3,2
BIOL 431,BIOL 431,BIOL,1,3
BIOL 432,BIOL 432,BIOL,3,3
BIOL 433,BIOL 433,BIOL,1,2
BIOL 434,BIOL 434,BIOL,5,4
BIOL 436,BIOL 436,BIOL,2,2
BIOL 437,BIOL 437,BIOL,5,4
BIOL 438,BIOL 438,BIOL,7,2
BIOL 440,BIOL 440,BIOL,2,2
BIOL 441,BIOL 441,BIOL,4,4
BIOL 444,BIOL 444,BIOL,1,2
BIOL 447,BIOL 447,BIOL,1,19
BIOL 449,BIOL 449,BIOL,1,20
BIOL 450,BIOL 450,BIOL,8,4
BIOL 451,BIOL 451,BIOL,6,2
PSYC 367,PSYC 367,PSYC,3,1
PSYC 370,PSYC 370,PSYC,7,2
BIOL 453,BIOL 453,BIOL,9,4
BIOL 454,BIOL 454,BIOL,2,4
BIOL 455,BIOL 455,BIOL,5,3
PSYC 360,PSYC 360,PSYC,1,2
BIOL 456,BIOL 456,BIOL,1,4
BIOL 457,BIOL 457,BIOL,1,4
BIOL 459,BIOL 459,BIOL,5,2
BIOL 460,BIOL 460,BIOL,5,2
BIOL 462,BIOL 462,BIOL,2,4
BIOL 463,BIOL 463,BIOL,4,4
BIOL 464,BIOL 464,BIOL,1,5
BIOL 465,BIOL 465,BIOL,1,3
BIOL 466,BIOL 466,BIOL,1,4
BIOL 499,BIOL 499,BIOL,2,1
BIOL 498,BIOL 498,BIOL,0,0
BMEG 101,BMEG 101,BMEG,2,19
BMEG 102,BMEG 102,BMEG,3,20
BMEG 200,BMEG 200,BMEG,2,3
PHYS 159,PHYS 159,PHYS,4,2
BMEG 201,BMEG 201,BMEG,7,1
BMEG 210,BMEG 210,BMEG,1,2
BMEG 220,BMEG 220,BMEG,4,19
MATH 264,MATH 264,MATH,7,20
BMEG 230,BMEG 230,BMEG,4,4
PHYS 170,PHYS 170,PHYS,13,2
BMEG 245,BMEG 245,BMEG,2,1
BMEG 250,BMEG 250,BMEG,2,3
BMEG 257,BMEG 257,BMEG,5,4
BMEG 310,BMEG 310,BMEG,3,2
CPEN 221,CPEN 221,CPEN,1,1
CPEN 223,CPEN 223,CPEN,1,1
BMEG 320,BMEG 320,BMEG,4,5
ELEC 221,ELEC 221,ELEC,3,3
ELEC 201,ELEC 201,ELEC,9,3
ELEC 202,ELEC 202,ELEC,7,4
BMEG 321,BMEG 321,BMEG,8,18
MATH 267,MATH 267,MATH,0,0
ELEC 211,ELEC 211,ELEC,6,19
ELEC 204,ELEC 204,ELEC,7,3
BMEG 330,BMEG 330,BMEG,1,5
BMEG 350,BMEG 350,BMEG,2,4
BMEG 357,BMEG 357,BMEG,1,5
BMEG 371,BMEG 371,BMEG,5,3
MATH 257,MATH 257,MATH,8,3
BMEG 372,BMEG 372,BMEG,2,4
BMEG 373,BMEG 373,BMEG,1,4
CHBE 251,CHBE 251,CHBE,5,3
BMEG 374,BMEG 374,BMEG,1,4
BMEG 420,BMEG 420,BMEG,4,6
ELEC 371,ELEC 371,ELEC,7,5
BMEG 457,BMEG 457,BMEG,2,6
BMEG 470,BMEG 470,BMEG,3,5
BMEG 474,BMEG 474,BMEG,3,5
BUSI 101,BUSI 101,BUSI,1,1
BUSI 100,BUSI 100,BUSI,0,0
BUSI 121,BUSI 121,BUSI,0,0
BUSI 221,BUSI 221,BUSI,1,1
BUSI 294,BUSI 294,BUSI,2,1
BUSI 293,BUSI 293,BUSI,1,0
BUSI 300,BUSI 300,BUSI,2,2
BUSI 330,BUSI 330,BUSI,0,0
BUSI 331,BUSI 331,BUSI,2,1
BUSI 352,BUSI 352,BUSI,2,1
BUSI 353,BUSI 353,BUSI,2,1
BUSI 354,BUSI 354,BUSI,3,2
BUSI 370,BUSI 370,BUSI,2,1
BUSI 355,BUSI 355,BUSI,1,1
BUSI 399,BUSI 399,BUSI,2,1
BUSI 290,BUSI 290,BUSI,0,0
BUSI 291,BUSI 291,BUSI,0,0
BUSI 414,BUSI 414,BUSI,2,1
BUSI 335,BUSI 335,BUSI,0,0
BUSI 441,BUSI 441,BUSI,1,1
BUSI 442,BUSI 442,BUSI,3,2
BUSI 444,BUSI 444,BUSI,0,0
BUSI 445,BUSI 445,BUSI,2,2
BUSI 446,BUSI 446,BUSI,1,3
BUSI 447,BUSI 447,BUSI,3,2
BUSI 295,BUSI 295,BUSI,0,0
BUSI 393,BUSI 393,BUSI,0,0
BUSI 450,BUSI 450,BUSI,4,2
BUSI 453,BUSI 453,BUSI,1,3
BUSI 454,BUSI 454,BUSI,1,2
BUSI 455,BUSI 455,BUSI,2,3
BUSI 460,BUSI 460,BUSI,3,2
BUSI 465,BUSI 465,BUSI,3,1
BUSI 470,BUSI 470,BUSI,2,2
COMM 473,COMM 473,COMM,17,1
BUSI 493,BUSI 493,BUSI,9,3
BUSI 497,BUSI 497,BUSI,4,3
BUSI 452,BUSI 452,BUSI,0,0
BUSI 498,BUSI 498,BUSI,8,2
ECON 102,ECON 102,ECON,2,0
ECON 309,ECON 309,ECON,15,2
BUSI 329,BUSI 329,BUSI,1,0
BUSI 499,BUSI 499,BUSI,4,3
CAPS 200,CAPS 200,CAPS,1,3
CAPS 390,CAPS 390,CAPS,2,2
CAPS 391,CAPS 391,CAPS,4,1
KIN 190,KIN 190,KIN,0,0
KIN 191,KIN 191,KIN,0,0
CAPS 398,CAPS 398,CAPS,4,3
CAPS 303,CAPS 303,CAPS,0,0
PHYL 301,PHYL 301,PHYL,0,0
PHYL 303,PHYL 303,PHYL,0,0
CAPS 399,CAPS 399,CAPS,2,1
PHYL 398,PHYL 398,PHYL,0,0
CAPS 421,CAPS 421,CAPS,4,1
ANAT 390,ANAT 390,ANAT,0,0
CAPS 422,CAPS 422,CAPS,2,1
CAPS 423,CAPS 423,CAPS,2,1
CAPS 424,CAPS 424,CAPS,2,1
CAPS 426,CAPS 426,CAPS,2,1
CAPS 431,CAPS 431,CAPS,1,1
CAPS 498,CAPS 498,CAPS,2,1
PHYL 399,PHYL 399,PHYL,0,0
CAPS 499,CAPS 499,CAPS,2,1
PHYL 498,PHYL 498,PHYL,0,0
CHBE 201,CHBE 201,CHBE,9,19
CHBE 220,CHBE 220,CHBE,4,20
CHEM 154,CHEM 154,CHEM,1,1
CHBE 221,CHBE 221,CHBE,1,21
CHBE 230,CHBE 230,CHBE,2,3
CHBE 241,CHBE 241,CHBE,4,3
MATH 152,MATH 152,MATH,5,2
CHBE 244,CHBE 244,CHBE,2,4
CHBE 262,CHBE 262,CHBE,6,20
CHEM 250,CHEM 250,CHEM,6,2
CHEM 251,CHEM 251,CHEM,5,2
CHBE 263,CHBE 263,CHBE,4,21
CHBE 264,CHBE 264,CHBE,3,22
CHBE 344,CHBE 344,CHBE,2,5
CHBE 345,CHBE 345,CHBE,4,20
CHBE 346,CHBE 346,CHBE,3,21
CHBE 352,CHBE 352,CHBE,3,4
CHBE 350,CHBE 350,CHBE,3,4
CHBE 351,CHBE 351,CHBE,0,0
CHBE 355,CHBE 355,CHBE,4,22
CHBE 356,CHBE 356,CHBE,3,3
CHBE 362,CHBE 362,CHBE,6,23
CHBE 370,CHBE 370,CHBE,3,5
CHBE 364,CHBE 364,CHBE,1,2
CHBE 373,CHBE 373,CHBE,5,1
CHBE 365,CHBE 365,CHBE,5,23
CHBE 381,CHBE 381,CHBE,6,2
CHBE 366,CHBE 366,CHBE,6,23
CIVL 215,CIVL 215,CIVL,3,3
MECH 280,MECH 280,MECH,12,3
MTRL 263,MTRL 263,MTRL,0,0
CHBE 376,CHBE 376,CHBE,3,23
CHBE 451,CHBE 451,CHBE,2,1
MTRL 350,MTRL 350,MTRL,0,0
CHBE 452,CHBE 452,CHBE,11,23
CHBE 254,CHBE 254,CHBE,0,0
CHBE 457,CHBE 457,CHBE,5,24
CHBE 459,CHBE 459,CHBE,3,0
CHBE 485,CHBE 485,CHBE,1,0
CHBE 453,CHBE 453,CHBE,7,24
CHBE 481,CHBE 481,CHBE,2,3
CHBE 454,CHBE 454,CHBE,6,24
CHBE 471,CHBE 471,CHBE,5,24
CHBE 455,CHBE 455,CHBE,1,3
